
Call:
msPGOcc(occ.formula = bbs_occobject_fulllandveg.occ.formula, det.formula = bbs_occobject.det.best.formula, 
    data = bbs_occobject, inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, 
    n.report = 6000, n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 58.0988

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                                Mean     SD      5%     50%     95%   Rhat  ESS
scale(tol_rel)-sp62           1.0570 0.3378  0.5343  1.0394  1.6529 1.0036 1200
scale(tol_rel)-sp63           0.5304 0.3527 -0.0237  0.5126  1.1745 1.0073 1088
scale(tol_rel)-sp64           0.2254 0.3912 -0.3420  0.1915  0.9256 1.0013 1200
scale(tol_rel)-sp65          -0.1846 0.5211 -1.0673 -0.1943  0.6866 1.0040 1200
scale(tol_rel)-sp66           0.5349 0.3765 -0.0397  0.5177  1.1593 1.0009 1200
scale(tol_rel)-sp67           1.1265 0.3218  0.6241  1.1050  1.6951 1.0050 1200
scale(tol_rel)-sp68           0.2348 0.3436 -0.3493  0.2483  0.7950 1.0053 1360
scale(tol_rel)-sp69           0.1527 0.4232 -0.4973  0.1343  0.8900 1.0012 1200
scale(tol_rel)-sp70           0.6904 0.5091 -0.1201  0.6887  1.4862 1.0028 1200
scale(tol_rel)-sp71           0.2010 0.5897 -0.8031  0.2123  1.1548 0.9994 1200
scale(tol_rel)-sp72           0.4556 0.2927  0.0063  0.4480  0.9525 1.0014 1200
scale(tol_rel)-sp73           0.1125 0.3437 -0.4388  0.1157  0.6903 1.0087 1333
scale(tol_rel)-sp74           0.2327 0.5495 -0.6774  0.2377  1.1285 1.0005 1200
scale(tol_rel)-sp75          -0.3945 0.4076 -1.0610 -0.4003  0.2744 1.0054 1508
scale(tol_rel)-sp76          -0.8708 0.2746 -1.3412 -0.8613 -0.4375 1.0017 1045
scale(tol_rel)-sp77          -0.3210 0.4424 -1.0250 -0.3195  0.3915 1.0031 1200
scale(tol_rel)-sp78           0.0467 0.5004 -0.7607  0.0488  0.8659 1.0006 1200
scale(tol_rel)-sp79           0.1100 0.5002 -0.6710  0.0727  0.9697 1.0116 1200
scale(tol_rel)-sp80           0.4424 0.3577 -0.1109  0.4306  1.0200 1.0073 1200
scale(tol_rel)-sp81           0.3378 0.4955 -0.4686  0.3193  1.1943 1.0028 1200
scale(tol_rel)-sp82           0.7758 0.2091  0.4469  0.7716  1.1320 1.0043 1200
scale(tol_rel)-sp83           0.2170 0.5121 -0.6243  0.2234  1.0349 0.9999 1200
