"fid","plot_id","geom","ldi_250ft","ldi_500ft","ldi_1k","ldi_1k_2005","ldi_2k","ldi_3k"
393,"3463_1st",POINT (2149802.090478355 648161.330329349),0.6234926298087566,0.7420669446641925,0.7777931013796073,0.3903037814512823,0.7736401383476582,2.711385711928256
394,"3465_1st",POINT (2268279.9331033365 652490.6787705761),0.0,0.08061694941957619,0.5095146853807797,0.2477138245784654,0.7141239900275971,0.5416001793805378
395,"3479_1st",POINT (2141764.2805536096 638959.654294507),0.0,0.11523918636811965,2.2288060812223316,1.3345562432222249,5.0222824840595015,6.54994211994757
396,"3483_1st",POINT (2153112.9097524583 651152.6724773615),4.847140342055634,2.6214882848619574,4.130481584863702,3.1611148715288184,4.252467381920012,5.490036922336924
397,"3484_1st",POINT (2190984.791222178 629106.0365694723),0.0,0.30395780291304236,1.5551513971692519,0.8568738035079202,2.533097772087146,2.540550633182721
398,"3495_1st",POINT (2137460.498841394 635911.8890372165),0.1252086138391843,0.14350101228813977,0.13948753692852142,0.06495270082965891,0.5065598015452062,1.6581282904024883
399,"3499_1st",POINT (2138970.614914305 629167.2184282735),0.2673833403026065,0.19942444409247234,0.7903962561101827,0.3972214166146463,1.7318683943904187,2.2918053145929114
400,"3500_1st",POINT (2172750.2104209047 636617.1239230904),0.721542650267947,0.5742704864854538,0.7561693779726651,0.37848159470569964,3.6604950850399813,6.579325654477874
401,"3511_1st",POINT (2149065.882855196 644719.721025665),0.02687760786526978,0.40583133412018146,1.0159130486363637,0.5244579736603809,2.0450412717961277,2.3876990090176404
402,"3596_1st",POINT (2188648.6358834193 626832.6057941911),0.30062903335721997,0.4516841074447754,0.3160855658931294,0.15023584295559497,0.5974398862797803,1.7101307753927024
403,"3652_1st",POINT (2198939.717651093 645323.216753864),0.0009649679847541,0.17315325806924933,4.570551478506839,3.710437970699811,8.399572251773664,10.132358885225996
404,"3668_1st",POINT (2189677.7015739665 625053.0255599522),0.0,0.007309166171317272,0.376255757035969,0.18009452924324046,1.482236731229956,1.6212129589368236
405,"3732_1st",POINT (2189590.636974567 628535.6239325084),0.4892468849540707,0.8675156888516029,1.9072161432287726,1.097270554275719,1.2039542759438215,2.044708027665105
406,"3812_1st",POINT (2182194.330888227 650462.1194255914),0.71262762582385,1.0654755256055244,2.487266740112929,1.5384157372012528,5.912021363138019,6.2214442125777225
407,"3964_1st",POINT (2195621.422132008 646512.1394484633),0.3870140954820902,0.5863259240838034,5.139626252583474,4.508538581532598,6.766219224092925,9.937292058179072
408,"3980_1st",POINT (2198490.189049891 653000.0243070524),3.1091896734037165,3.2957761898948923,3.70088942295143,2.6759708224168945,7.372862246258835,9.72738442896452
409,Ac1_1,POINT (2164380.528731211 531374.9284370111),1.6941672629217526,1.7296135198264395,1.6896376670574165,0.9464110055147348,2.801470835121921,3.645249028461084
410,JacksonWetWoods_1,POINT (2271459.2540397784 634643.9628335634),0.0,0.0,0.09198710756376473,0.04259937249027247,0.6782318844331853,0.8191340270455549
411,Large-001_1,POINT (2195757.9445236167 647726.8194417439),0.0,0.15980365708702976,9.780820656791779,16.9306103552401,12.141666343904493,12.56284694762239
412,Large-002_1,POINT (2260454.3907984896 698085.7293485629),1.125875091581582,0.6332891350965901,0.4805962945293103,0.23286304542784533,0.46248514082112746,1.6249141967368754
