
Call:
msPGOcc(occ.formula = occ_fullrda, det.formula = det_best, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, 
    n.omp.threads = n.omp.threads, verbose = TRUE, n.report = n.report, 
    n.burn = n.burn, n.thin = n.thin, n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 51.4768

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                         Mean     SD      5%     50%     95%   Rhat  ESS
scale(tol_rel)-REVI   -1.1733 0.3313 -1.7322 -1.1645 -0.6329 1.0005 1200
scale(tol_rel)-RHWO   -0.2560 0.4271 -0.9783 -0.2377  0.4059 1.0037 1200
scale(tol_rel)-ROPI    0.0907 0.5732 -0.8322  0.0906  1.0004 0.9998 1018
scale(tol_rel)-RSHA   -0.1919 0.5392 -1.0235 -0.2283  0.7959 1.0265 1081
scale(tol_rel)-RTHA    0.2868 0.4459 -0.4184  0.2668  1.0065 1.0184 1086
scale(tol_rel)-RTHU    0.1151 0.5444 -0.7045  0.0827  1.0900 1.0040 1078
scale(tol_rel)-RWBL    0.6944 0.2022  0.3688  0.6885  1.0347 1.0133 1200
scale(tol_rel)-SAVS    0.1926 0.5347 -0.7233  0.1975  1.0367 1.0059 1445
scale(tol_rel)-SCTA   -1.0372 0.2725 -1.4898 -1.0229 -0.6170 1.0031 1200
scale(tol_rel)-SOSP    1.0021 0.2521  0.6238  0.9910  1.4289 1.0197 1200
scale(tol_rel)-SWSP    0.5404 0.3452 -0.0131  0.5511  1.1011 1.0156 1200
scale(tol_rel)-TRES    1.0789 0.3413  0.5572  1.0544  1.6839 1.0105 1306
scale(tol_rel)-TUTI   -0.4717 0.4452 -1.1886 -0.4822  0.2679 1.0003 1200
scale(tol_rel)-TUVU    0.8350 0.5473  0.0004  0.8156  1.7751 1.0037 1263
scale(tol_rel)-VEER   -0.0533 0.3395 -0.6089 -0.0597  0.5091 1.0078 1200
scale(tol_rel)-VIRA    0.5930 0.5795 -0.3470  0.5670  1.5648 1.0042 1200
scale(tol_rel)-WAVI    0.9187 0.2229  0.5622  0.9215  1.2865 1.0100 1200
scale(tol_rel)-WBNU   -0.6706 0.3025 -1.1953 -0.6688 -0.1853 0.9997 1200
scale(tol_rel)-WEVI   -0.0125 0.5556 -0.9424  0.0040  0.8503 1.0017 1488
scale(tol_rel)-WIFL    1.1379 0.3110  0.6547  1.1296  1.6556 1.0001 1200
scale(tol_rel)-WITU    0.0456 0.6705 -1.0207  0.0196  1.2003 1.0059 1084
scale(tol_rel)-WIWR   -0.4261 0.5671 -1.3570 -0.4056  0.4514 1.0091 1200
scale(tol_rel)-WODU    0.5777 0.5117 -0.2514  0.5772  1.4019 1.0029 1200
scale(tol_rel)-WOTH   -0.4531 0.2536 -0.8678 -0.4561 -0.0317 1.0114 1200
scale(tol_rel)-YBCU    0.0235 0.5497 -0.7850 -0.0059  0.9566 1.0078 1074
scale(tol_rel)-YEWA    1.2551 0.2545  0.8504  1.2477  1.7074 0.9990 1088
scale(tol_rel)-YTVI   -0.4826 0.5241 -1.2552 -0.4962  0.4398 1.0283  705
scale(tol_rel)-YTWA    0.0189 0.3966 -0.6638  0.0361  0.6525 1.0015 1058
scale(svp)-ACFL        0.3092 0.2331 -0.0664  0.3055  0.7028 1.0113 1200
scale(svp)-ALFL       -0.0594 0.3151 -0.5611 -0.0621  0.4771 1.0026 1200
scale(svp)-AMCR        0.0953 0.2497 -0.3049  0.0824  0.5116 1.0108 1309
scale(svp)-AMGO        0.0883 0.3097 -0.3958  0.0722  0.6337 1.0005 1078
scale(svp)-AMKE       -0.2132 0.3170 -0.7379 -0.2122  0.3168 1.0036 1052
scale(svp)-AMRE       -0.2103 0.2619 -0.6288 -0.2086  0.2053 1.0005 1200
scale(svp)-AMRO       -0.3121 0.2727 -0.7495 -0.3090  0.1503 1.0013 1200
scale(svp)-AMWO       -0.0794 0.2976 -0.5870 -0.0632  0.4085 1.0026 1200
scale(svp)-BADO       -0.0151 0.3188 -0.5400 -0.0187  0.5017 1.0007  923
scale(svp)-BAEA       -0.2148 0.3173 -0.7546 -0.2009  0.2999 1.0084 1200
scale(svp)-BANS       -0.0862 0.3119 -0.5786 -0.1004  0.4228 1.0128 1200
scale(svp)-BAOR       -0.2631 0.2230 -0.6337 -0.2644  0.0996 1.0089 1200
scale(svp)-BARS       -0.2774 0.2581 -0.7027 -0.2736  0.1359 1.0088 1097
scale(svp)-BCCH        0.0015 0.2980 -0.4967  0.0052  0.4679 1.0001 1200
scale(svp)-BEKI        0.0014 0.2575 -0.4010 -0.0055  0.4234 1.0038 1304
scale(svp)-BGGN        0.1549 0.2678 -0.2492  0.1481  0.6172 1.0045 1200
scale(svp)-BHCO        0.0471 0.2648 -0.3857  0.0402  0.4939 1.0017 1200
scale(svp)-BHVI       -0.0783 0.3072 -0.5736 -0.0931  0.4243 1.0009 1200
scale(svp)-BLJA       -0.1383 0.2727 -0.5771 -0.1470  0.3135 1.0026 1200
scale(svp)-BOBO       -0.0708 0.3015 -0.5456 -0.0678  0.4345 1.0022 1200
scale(svp)-BRCR        0.3523 0.2493 -0.0334  0.3409  0.7937 1.0307 1200
scale(svp)-BRTH       -0.1583 0.3047 -0.6624 -0.1575  0.3458 1.0014 1450
scale(svp)-BTNW       -0.1833 0.3063 -0.7015 -0.1701  0.2900 1.0033 1200
scale(svp)-BWHA        0.1070 0.3056 -0.3629  0.0984  0.6055 0.9998 1200
scale(svp)-BWWA       -0.0983 0.2650 -0.5439 -0.0977  0.3281 1.0012 1200
scale(svp)-CANG       -0.0638 0.2936 -0.5316 -0.0720  0.4053 1.0026 1206
scale(svp)-CARW        0.0896 0.2077 -0.2434  0.0831  0.4370 1.0142 1097
scale(svp)-CEDW       -0.3881 0.2169 -0.7658 -0.3813 -0.0477 1.0019 1200
scale(svp)-CERW       -0.1827 0.3178 -0.7027 -0.1858  0.3570 1.0108 1200
scale(svp)-CHSP       -0.0163 0.2076 -0.3473 -0.0169  0.3321 1.0447 1200
scale(svp)-CHSW       -0.2313 0.2766 -0.6787 -0.2359  0.2194 1.0084 1200
scale(svp)-CLSW       -0.1607 0.3166 -0.6705 -0.1753  0.3523 1.0001 1200
scale(svp)-COGR       -0.0474 0.1975 -0.3701 -0.0429  0.2719 1.0003 1200
scale(svp)-COHA       -0.0482 0.2739 -0.4846 -0.0560  0.4023 1.0095 1200
scale(svp)-COYE       -0.1199 0.1858 -0.4228 -0.1169  0.1881 1.0015 1200
scale(svp)-DEJU        0.5132 0.2475  0.1007  0.4975  0.9127 1.0048 1174
scale(svp)-DOWO        0.0202 0.2933 -0.4477  0.0060  0.5131 1.0011 1200
scale(svp)-EABL        0.0594 0.2407 -0.3259  0.0552  0.4367 1.0125 1103
scale(svp)-EAKI       -0.1300 0.2667 -0.5523 -0.1406  0.3270 1.0070 1200
scale(svp)-EAME       -0.1448 0.3088 -0.6427 -0.1457  0.3526 1.0069 1200
scale(svp)-EAPH        0.0009 0.2721 -0.4557  0.0046  0.4588 1.0053 1200
scale(svp)-EATO       -0.3587 0.2072 -0.7037 -0.3453 -0.0198 1.0077 1040
scale(svp)-EAWP        0.0034 0.2688 -0.4202  0.0046  0.4600 1.0013 1200
scale(svp)-EUST       -0.3534 0.2552 -0.7661 -0.3466  0.0323 1.0008 1200
scale(svp)-FISP       -0.2246 0.2329 -0.5883 -0.2329  0.1610 0.9997 1200
scale(svp)-GBHE        0.0213 0.3123 -0.5092  0.0227  0.5277 0.9995 1200
scale(svp)-GCFL       -0.0197 0.3102 -0.5171 -0.0310  0.5129 1.0117 1200
scale(svp)-GHOW       -0.1001 0.3153 -0.6141 -0.0897  0.4072 1.0035 1200
scale(svp)-GRCA       -0.3042 0.1911 -0.6263 -0.3030  0.0012 1.0123 1200
scale(svp)-GRHE       -0.1219 0.3048 -0.6158 -0.1276  0.3674 1.0073 1200
scale(svp)-HAWO        0.0300 0.2704 -0.3977  0.0165  0.4891 1.0050 1200
scale(svp)-HERG       -0.1955 0.3139 -0.7520 -0.1888  0.2986 1.0041 1200
scale(svp)-HETH        0.1301 0.2989 -0.3347  0.1114  0.6472 0.9998 1367
scale(svp)-HOFI       -0.3366 0.2521 -0.7773 -0.3291  0.0531 1.0052 1200
scale(svp)-HOSP       -0.5018 0.2423 -0.9288 -0.4970 -0.1348 1.0011 1200
scale(svp)-HOWA        0.1102 0.1965 -0.2032  0.1074  0.4351 1.0007 1200
scale(svp)-HOWR       -0.2855 0.2042 -0.6358 -0.2725  0.0291 1.0031 1052
scale(svp)-INBU       -0.3159 0.1908 -0.6398 -0.3183 -0.0119 1.0233 1200
scale(svp)-KILL       -0.3040 0.2688 -0.7741 -0.2982  0.1205 1.0001 1200
scale(svp)-LOWA        0.0647 0.2359 -0.3159  0.0671  0.4547 1.0082 1200
scale(svp)-MALL       -0.1404 0.2684 -0.5953 -0.1347  0.2928 1.0007 1200
scale(svp)-MODO       -0.2383 0.2345 -0.6198 -0.2346  0.1445 1.0008 1200
scale(svp)-NOCA        0.0221 0.3064 -0.4763  0.0175  0.5351 0.9998 1200
