Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI,Migratory,Sig
Occupancy,WoodDuck,Intercept,-3.7399,1.1144,-5.8403,-3.7944,-1.4504,1.0005,683,-5.4959,-1.8909,M,YES
Occupancy,WoodThrush,Intercept,0.93,0.3428,0.3574,0.8951,1.691,1.0018,1200,0.428,1.5555,NE,YES
Occupancy,Yellow-billedCuckoo,Intercept,-1.6815,1.2099,-3.5389,-1.8751,1.2776,1.0222,414,-3.2934,0.524,NE,NO
Occupancy,YellowWarbler,Intercept,-1.2739,0.278,-1.8247,-1.2696,-0.7158,1.0239,1200,-1.7123,-0.8257,NE,YES
Occupancy,Yellow-throatedVireo,Intercept,-1.5295,0.7001,-2.6394,-1.601,-0.0648,1.0498,516,-2.4803,-0.3324,NE,YES
Occupancy,Yellow-throatedWarbler,Intercept,-3.011,0.8095,-4.3727,-3.094,-1.122,1.0923,463,-4.1283,-1.6786,NE,YES
Occupancy,AcadianFlycatcher,tol_rel,-1.267,0.2554,-1.8211,-1.263,-0.7882,1.0136,1200,-1.7145,-0.867,NE,YES
Occupancy,AlderFlycatcher,tol_rel,0.5414,0.5286,-0.4509,0.5323,1.6032,1.0112,1200,-0.3114,1.4298,NE,NO
Occupancy,AmericanCrow,tol_rel,0.0961,0.2708,-0.3874,0.092,0.6551,1.0005,1039,-0.3263,0.5278,R,NO
Occupancy,AmericanGoldfinch,tol_rel,0.1545,0.4167,-0.6296,0.1276,1.0502,1.0052,1200,-0.4957,0.8554,M,NO
Occupancy,AmericanKestrel,tol_rel,0.1516,0.5274,-0.9475,0.1592,1.1174,1.0018,1255,-0.7433,0.977,R,NO
Occupancy,AmericanRedstart,tol_rel,0.113,0.3549,-0.5931,0.1215,0.8155,1.0029,1200,-0.4738,0.6924,NE,NO
Occupancy,AmericanRobin,tol_rel,0.4606,0.3775,-0.1892,0.4344,1.2588,1.0069,1200,-0.0979,1.1412,M,NO
Occupancy,AmericanWoodcock,tol_rel,0.1691,0.4676,-0.7714,0.1614,1.0896,1.0007,1200,-0.6251,0.9405,M,NO
Occupancy,BarredOwl,tol_rel,0.6826,0.4796,-0.2426,0.6697,1.6775,1.0246,1088,-0.088,1.4878,R,NO
Occupancy,BaldEagle,tol_rel,0.2742,0.4664,-0.6259,0.2699,1.175,1.0046,1200,-0.4722,1.0519,R,NO
Occupancy,BankSwallow,tol_rel,0.8884,0.5075,-0.1351,0.8876,1.9091,1.0093,1200,0.0485,1.7054,NE,NO
Occupancy,BaltimoreOriole,tol_rel,0.7995,0.3008,0.2653,0.7754,1.4526,1.0137,1200,0.3394,1.2995,NE,YES
Occupancy,BarnSwallow,tol_rel,0.4945,0.3851,-0.1749,0.4529,1.3502,1.0003,1200,-0.0786,1.1879,NE,NO
Occupancy,Black-cappedChickadee,tol_rel,-0.3519,0.455,-1.1947,-0.3703,0.5938,1.0006,1200,-1.058,0.4313,R,NO
Occupancy,BeltedKingfisher,tol_rel,0.2732,0.4003,-0.4453,0.2591,1.1741,1.0007,1737,-0.3325,0.9333,R,NO
Occupancy,Blue-grayGnatcatcher,tol_rel,-0.4289,0.2634,-0.9594,-0.4286,0.0819,1.0036,1405,-0.8905,-0.0023,M,NO
Occupancy,Brown-headedCowbird,tol_rel,0.7477,0.3747,0.0936,0.7153,1.5608,1.0066,1200,0.2011,1.4142,M,YES
Occupancy,Blue-headedVireo,tol_rel,0.0169,0.5552,-1.0764,0.0042,1.1518,1.0014,1200,-0.8764,0.9272,NE,NO
Occupancy,BlueJay,tol_rel,-0.3567,0.3075,-0.9244,-0.3669,0.28,0.9993,1122,-0.8486,0.1537,M,NO
Occupancy,Bobolink,tol_rel,0.0893,0.588,-1.0843,0.0989,1.2114,1.0036,1200,-0.9159,1.0304,NE,NO
Occupancy,BrownCreeper,tol_rel,-0.1026,0.3706,-0.8516,-0.0805,0.5804,1.0061,1200,-0.7364,0.4757,M,NO
Occupancy,BrownThrasher,tol_rel,1.2345,0.4631,0.4193,1.2022,2.2339,1.0138,1000,0.5369,2.054,M,YES
Occupancy,Black-throatedGreenWarbler,tol_rel,0.1039,0.5913,-1.0764,0.1195,1.1887,0.9997,1083,-0.8802,1.0479,NE,NO
Occupancy,Broad-wingedHawk,tol_rel,-0.3274,0.5293,-1.4512,-0.3258,0.6361,0.9988,1200,-1.1858,0.4952,NE,NO
Occupancy,Blue-wingedWarbler,tol_rel,0.6229,0.3931,-0.1336,0.6191,1.4077,1.0111,1322,0.0053,1.2972,NE,NO
Occupancy,CanadaGoose,tol_rel,0.5581,0.4584,-0.327,0.566,1.483,1.0163,1303,-0.1636,1.2975,R,NO
Occupancy,CarolinaWren,tol_rel,0.687,0.319,0.1351,0.6652,1.3868,1.0024,965,0.202,1.2583,R,YES
Occupancy,CedarWaxwing,tol_rel,0.6381,0.2763,0.1442,0.6197,1.2042,1.0035,1200,0.22,1.1194,M,YES
Occupancy,CeruleanWarbler,tol_rel,0.1144,0.5777,-1.0815,0.1133,1.2456,1.0035,1200,-0.8486,1.0804,NE,NO
Occupancy,ChippingSparrow,tol_rel,0.1979,0.278,-0.3044,0.1904,0.8004,1.0051,1047,-0.2269,0.6762,M,NO
Occupancy,ChimneySwift,tol_rel,-0.0221,0.3604,-0.6408,-0.0524,0.8215,1.0039,1087,-0.5591,0.6017,NE,NO
Occupancy,CliffSwallow,tol_rel,0.1352,0.5003,-0.8374,0.141,1.1167,1.0149,1200,-0.7005,0.9271,NE,NO
Occupancy,CommonGrackle,tol_rel,0.561,0.3595,-0.0856,0.5212,1.3254,1,1200,0.0289,1.2129,M,NO
Occupancy,Cooper'sHawk,tol_rel,0.4542,0.3582,-0.2098,0.4508,1.1609,1.0012,1183,-0.126,1.0215,M,NO
Occupancy,CommonYellowthroat,tol_rel,0.6847,0.2277,0.2617,0.682,1.1378,1.0126,1200,0.3139,1.0551,NE,YES
Occupancy,Dark-eyedJunco,tol_rel,-0.5121,0.3671,-1.2833,-0.4941,0.1658,1.001,1200,-1.1635,0.0639,R,NO
Occupancy,DownyWoodpecker,tol_rel,0.1319,0.3389,-0.5167,0.1268,0.8379,1.0027,1200,-0.4197,0.7155,R,NO
Occupancy,EasternBluebird,tol_rel,0.3175,0.3067,-0.2618,0.3064,0.9542,1.008,1303,-0.1646,0.8147,M,NO
Occupancy,EasternKingbird,tol_rel,0.7866,0.3405,0.1518,0.7902,1.4546,1.0009,1200,0.2344,1.3336,NE,YES
Occupancy,EasternMeadowlark,tol_rel,0.0178,0.5002,-0.9925,0.0353,0.9746,1.0019,1402,-0.8769,0.8457,M,NO
Occupancy,EasternPhoebe,tol_rel,-0.4941,0.3334,-1.2009,-0.4765,0.1362,1.0029,1200,-1.0777,0.0183,M,NO
Occupancy,EasternTowhee,tol_rel,0.6125,0.2599,0.1179,0.613,1.1116,1.0017,1200,0.1938,1.0457,M,YES
Occupancy,EasternWood-Pewee,tol_rel,-0.9553,0.2886,-1.5293,-0.9437,-0.4296,1.0024,1200,-1.4493,-0.5185,NE,YES
Occupancy,EuropeanStarling,tol_rel,0.7028,0.2633,0.2174,0.6972,1.25,1.0046,1309,0.2895,1.1391,R,YES
Occupancy,FieldSparrow,tol_rel,0.6494,0.2912,0.1061,0.6488,1.2622,1.0114,1200,0.1849,1.1392,M,YES
Occupancy,GreatBlueHeron,tol_rel,0.1328,0.3839,-0.6008,0.1207,0.9384,1.0003,1200,-0.4727,0.774,M,NO
Occupancy,GreatCrestedFlycatcher,tol_rel,-0.3814,0.4395,-1.1168,-0.4332,0.6206,1.0059,1038,-1.0154,0.3926,NE,NO
Occupancy,GreatHornedOwl,tol_rel,0.1382,0.5606,-1.0407,0.1533,1.2142,1.0033,1200,-0.79,1.022,R,NO
Occupancy,GrayCatbird,tol_rel,0.7737,0.2282,0.346,0.7655,1.2504,1.0152,1200,0.4025,1.1446,M,YES
Occupancy,GreenHeron,tol_rel,0.2794,0.5395,-0.7984,0.2878,1.3336,1.0072,926,-0.5905,1.1518,M,NO
Occupancy,HairyWoodpecker,tol_rel,-0.6512,0.4107,-1.363,-0.6836,0.2942,1.0093,1037,-1.2571,0.0669,R,NO
Occupancy,HerringGull,tol_rel,-0.157,0.5274,-1.2734,-0.1432,0.8262,1.0082,1200,-1.043,0.6633,R,NO
Occupancy,HermitThrush,tol_rel,-0.2313,0.5304,-1.3161,-0.2013,0.7367,1.0008,1125,-1.1419,0.5714,NE,NO
Occupancy,HouseFinch,tol_rel,0.1867,0.3794,-0.5222,0.1835,0.9696,1.0064,1200,-0.4257,0.8583,R,NO
Occupancy,HouseSparrow,tol_rel,0.1886,0.2489,-0.2751,0.1877,0.6769,1.0006,1200,-0.2189,0.5916,R,NO
Occupancy,HoodedWarbler,tol_rel,-0.4268,0.2467,-0.9264,-0.4218,0.0352,1.0029,1200,-0.8436,-0.0441,NE,NO
Occupancy,HouseWren,tol_rel,0.2119,0.1894,-0.1538,0.2111,0.5748,1.0018,1200,-0.1031,0.5201,M,NO
