Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,BeltedKingfisher,tol_rel,0.3344,0.4058,-0.2773,0.31,1.0109,1.0099,1200,R,NO
Occupancy,Blue-grayGnatcatcher,tol_rel,-0.3585,0.2545,-0.786,-0.3605,0.0641,1.0156,1200,M,NO
Occupancy,Brown-headedCowbird,tol_rel,0.4991,0.3547,-0.0349,0.4738,1.1109,1.0103,1084,M,NO
Occupancy,Blue-headedVireo,tol_rel,0.1041,0.5208,-0.7432,0.1037,0.9714,0.9997,1200,NE,NO
Occupancy,BlueJay,tol_rel,-0.111,0.3098,-0.6005,-0.1166,0.3976,1.0049,1200,M,NO
Occupancy,Bobolink,tol_rel,0.1855,0.5819,-0.7942,0.1973,1.1412,1.0019,984,NE,NO
Occupancy,BrownCreeper,tol_rel,-0.0348,0.3607,-0.657,-0.0321,0.5324,1.0022,1200,M,NO
Occupancy,BrownThrasher,tol_rel,1.3639,0.4381,0.6837,1.344,2.1256,1.0018,1200,M,YES
Occupancy,Black-throatedGreenWarbler,tol_rel,0.1703,0.5956,-0.8097,0.1983,1.1786,1.001,1200,NE,NO
Occupancy,Broad-wingedHawk,tol_rel,-0.2096,0.5246,-1.0843,-0.2017,0.5781,1.0068,1099,NE,NO
Occupancy,Blue-wingedWarbler,tol_rel,0.7555,0.3701,0.1704,0.749,1.3867,1.0014,1200,NE,YES
Occupancy,CanadaGoose,tol_rel,0.5325,0.4116,-0.1259,0.516,1.2261,1.0093,1042,R,NO
Occupancy,CarolinaWren,tol_rel,0.7609,0.3322,0.2783,0.7409,1.3126,1.0012,1200,R,YES
Occupancy,CedarWaxwing,tol_rel,0.7859,0.2855,0.3632,0.7707,1.2727,1.0087,1324,M,YES
Occupancy,CeruleanWarbler,tol_rel,0.2091,0.5508,-0.6913,0.2309,1.0561,1.0001,1200,NE,NO
Occupancy,ChippingSparrow,tol_rel,0.0549,0.2547,-0.3499,0.052,0.4928,1.0023,911,M,NO
Occupancy,ChimneySwift,tol_rel,0.1081,0.3398,-0.3984,0.096,0.6803,1.0028,1095,NE,NO
Occupancy,CliffSwallow,tol_rel,0.1713,0.5338,-0.679,0.1659,1.0362,1.004,1414,NE,NO
Occupancy,CommonGrackle,tol_rel,0.479,0.3283,-0.0265,0.4607,1.0347,1.0024,1082,M,NO
Occupancy,Cooper'sHawk,tol_rel,0.5387,0.3496,-0.0465,0.5383,1.1192,1.0143,1102,M,NO
Occupancy,CommonYellowthroat,tol_rel,0.9376,0.2273,0.5773,0.9292,1.3351,1.0013,1324,NE,YES
Occupancy,Dark-eyedJunco,tol_rel,-0.4364,0.3503,-1.0087,-0.4336,0.1146,1.0102,1366,R,NO
Occupancy,DownyWoodpecker,tol_rel,0.2396,0.3441,-0.3039,0.217,0.843,1.0004,1200,R,NO
Occupancy,EasternBluebird,tol_rel,0.5399,0.3054,0.0803,0.5304,1.063,1.0047,1200,M,YES
Occupancy,EasternKingbird,tol_rel,0.8687,0.3192,0.3812,0.858,1.4067,1.0132,1200,NE,YES
Occupancy,EasternMeadowlark,tol_rel,0.1051,0.4923,-0.753,0.1358,0.8474,1.0095,1363,M,NO
Occupancy,EasternPhoebe,tol_rel,-0.5102,0.3417,-1.0851,-0.4981,0.0082,1.0072,1200,M,NO
Occupancy,EasternTowhee,tol_rel,0.8076,0.2426,0.4354,0.7954,1.2351,1.0054,1200,M,YES
Occupancy,EasternWood-Pewee,tol_rel,-0.8877,0.2955,-1.3761,-0.8746,-0.4196,1.0228,1200,NE,YES
Occupancy,EuropeanStarling,tol_rel,0.7288,0.258,0.3278,0.7222,1.1547,1.0018,1177,R,YES
Occupancy,FieldSparrow,tol_rel,0.8349,0.2949,0.3852,0.8252,1.364,1.0007,1323,M,YES
Occupancy,GreatBlueHeron,tol_rel,0.2107,0.3644,-0.3959,0.2131,0.7887,1.002,1200,M,NO
Occupancy,GreatCrestedFlycatcher,tol_rel,-0.291,0.3352,-0.8335,-0.3037,0.275,1.0082,1134,NE,NO
Occupancy,GreatHornedOwl,tol_rel,0.2165,0.5173,-0.6368,0.2456,1.0781,1.0006,1200,R,NO
Occupancy,GrayCatbird,tol_rel,0.7065,0.2384,0.3302,0.7028,1.1006,1.0109,1200,M,YES
Occupancy,GreenHeron,tol_rel,0.3387,0.5294,-0.523,0.3436,1.2457,1.0017,1320,M,NO
Occupancy,HairyWoodpecker,tol_rel,-0.3461,0.4129,-0.985,-0.3728,0.3479,1.0041,994,R,NO
Occupancy,HerringGull,tol_rel,-0.0749,0.5143,-0.9281,-0.0784,0.7576,1.0015,1200,R,NO
Occupancy,HermitThrush,tol_rel,-0.0791,0.5014,-0.9365,-0.057,0.7002,1.004,1200,NE,NO
Occupancy,HouseFinch,tol_rel,-0.0273,0.3549,-0.5827,-0.0412,0.5539,1.0036,1200,R,NO
Occupancy,HouseSparrow,tol_rel,-0.0122,0.233,-0.3955,-0.0073,0.3594,1.0015,1200,R,NO
Occupancy,HoodedWarbler,tol_rel,-0.2365,0.2385,-0.629,-0.2349,0.1591,1.0006,1200,NE,NO
Occupancy,HouseWren,tol_rel,0.2379,0.1885,-0.0775,0.237,0.5538,1.0101,1200,M,NO
Occupancy,IndigoBunting,tol_rel,0.5735,0.2011,0.2646,0.5663,0.9156,1.0059,1200,NE,YES
Occupancy,Killdeer,tol_rel,0.6536,0.3534,0.1142,0.6492,1.25,1.0148,1075,M,YES
Occupancy,LouisianaWaterthrush,tol_rel,0.2178,0.3417,-0.3414,0.2213,0.8042,1.002,1200,NE,NO
Occupancy,Mallard,tol_rel,0.1421,0.4251,-0.5624,0.1556,0.7915,1.0001,1054,M,NO
Occupancy,MourningDove,tol_rel,1.057,0.3378,0.5343,1.0394,1.6529,1.0036,1200,M,YES
Occupancy,NorthernCardinal,tol_rel,0.5304,0.3527,-0.0237,0.5126,1.1745,1.0073,1088,R,NO
Occupancy,NorthernFlicker,tol_rel,0.2254,0.3912,-0.342,0.1915,0.9256,1.0013,1200,M,NO
Occupancy,NorthernParula,tol_rel,-0.1846,0.5211,-1.0673,-0.1943,0.6866,1.004,1200,M,NO
Occupancy,NorthernRough-wingedSwallow,tol_rel,0.5349,0.3765,-0.0397,0.5177,1.1593,1.0009,1200,M,NO
Occupancy,OrchardOriole,tol_rel,1.1265,0.3218,0.6241,1.105,1.6951,1.005,1200,NE,YES
Occupancy,Ovenbird,tol_rel,0.2348,0.3436,-0.3493,0.2483,0.795,1.0053,1360,NE,NO
Occupancy,PileatedWoodpecker,tol_rel,0.1527,0.4232,-0.4973,0.1343,0.89,1.0012,1200,R,NO
Occupancy,PurpleFinch,tol_rel,0.6904,0.5091,-0.1201,0.6887,1.4862,1.0028,1200,M,NO
Occupancy,PurpleMartin,tol_rel,0.201,0.5897,-0.8031,0.2123,1.1548,0.9994,1200,NE,NO
Occupancy,Rose-breastedGrosbeak,tol_rel,0.4556,0.2927,0.0063,0.448,0.9525,1.0014,1200,NE,YES
Occupancy,Ring-billedGull,tol_rel,0.1125,0.3437,-0.4388,0.1157,0.6903,1.0087,1333,R,NO
Occupancy,Red-breastedNuthatch,tol_rel,0.2327,0.5495,-0.6774,0.2377,1.1285,1.0005,1200,M,NO
Occupancy,Red-belliedWoodpecker,tol_rel,-0.3945,0.4076,-1.061,-0.4003,0.2744,1.0054,1508,R,NO
Occupancy,Red-eyedVireo,tol_rel,-0.8708,0.2746,-1.3412,-0.8613,-0.4375,1.0017,1045,NE,YES
Occupancy,Red-headedWoodpecker,tol_rel,-0.321,0.4424,-1.025,-0.3195,0.3915,1.0031,1200,R,NO
Occupancy,RockPigeon,tol_rel,0.0467,0.5004,-0.7607,0.0488,0.8659,1.0006,1200,R,NO
Occupancy,Red-shoulderedHawk,tol_rel,0.11,0.5002,-0.671,0.0727,0.9697,1.0116,1200,R,NO
Occupancy,Red-tailedHawk,tol_rel,0.4424,0.3577,-0.1109,0.4306,1.02,1.0073,1200,R,NO
Occupancy,Ruby-throatedHummingbird,tol_rel,0.3378,0.4955,-0.4686,0.3193,1.1943,1.0028,1200,NE,NO
Occupancy,Red-wingedBlackbird,tol_rel,0.7758,0.2091,0.4469,0.7716,1.132,1.0043,1200,M,YES
Occupancy,SavannahSparrow,tol_rel,0.217,0.5121,-0.6243,0.2234,1.0349,0.9999,1200,M,NO
Occupancy,ScarletTanager,tol_rel,-0.6953,0.264,-1.1343,-0.7024,-0.2625,1.0024,1200,NE,YES
Occupancy,SongSparrow,tol_rel,0.8285,0.2177,0.487,0.8314,1.1989,1.0047,1200,R,YES
Occupancy,SwampSparrow,tol_rel,0.5568,0.3381,-0.0103,0.5645,1.1237,1.0107,1200,M,NO
Occupancy,TreeSwallow,tol_rel,0.9854,0.3131,0.4978,0.9765,1.5258,1.0151,1200,M,YES
Occupancy,TuftedTitmouse,tol_rel,-0.3435,0.3824,-0.9709,-0.3408,0.2845,1.0029,1200,R,NO
Occupancy,TurkeyVulture,tol_rel,0.8156,0.4682,0.119,0.7706,1.6464,1.0014,1200,M,YES
