Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory
Occupancy,Hooded Warbler,tol_rel,-0.2365,0.2385,-0.629,-0.2349,0.1591,1.0006,1200,NE
Occupancy,House Wren,tol_rel,0.2379,0.1885,-0.0775,0.237,0.5538,1.0101,1200,M
Occupancy,Indigo Bunting,tol_rel,0.5735,0.2011,0.2646,0.5663,0.9156,1.0059,1200,NE
Occupancy,Killdeer,tol_rel,0.6536,0.3534,0.1142,0.6492,1.25,1.0148,1075,M
Occupancy,Louisiana Waterthrush,tol_rel,0.2178,0.3417,-0.3414,0.2213,0.8042,1.002,1200,NE
Occupancy,Mallard,tol_rel,0.1421,0.4251,-0.5624,0.1556,0.7915,1.0001,1054,M
Occupancy,Mourning Dove,tol_rel,1.057,0.3378,0.5343,1.0394,1.6529,1.0036,1200,M
Occupancy,Northern Cardinal,tol_rel,0.5304,0.3527,-0.0237,0.5126,1.1745,1.0073,1088,R
Occupancy,Northern Flicker,tol_rel,0.2254,0.3912,-0.342,0.1915,0.9256,1.0013,1200,M
Occupancy,Northern Parula,tol_rel,-0.1846,0.5211,-1.0673,-0.1943,0.6866,1.004,1200,M
Occupancy,Northern Rough-winged Swallow,tol_rel,0.5349,0.3765,-0.0397,0.5177,1.1593,1.0009,1200,M
Occupancy,Orchard Oriole,tol_rel,1.1265,0.3218,0.6241,1.105,1.6951,1.005,1200,NE
Occupancy,Ovenbird,tol_rel,0.2348,0.3436,-0.3493,0.2483,0.795,1.0053,1360,NE
Occupancy,Pileated Woodpecker,tol_rel,0.1527,0.4232,-0.4973,0.1343,0.89,1.0012,1200,R
Occupancy,Purple Finch,tol_rel,0.6904,0.5091,-0.1201,0.6887,1.4862,1.0028,1200,M
Occupancy,Purple Martin,tol_rel,0.201,0.5897,-0.8031,0.2123,1.1548,0.9994,1200,NE
Occupancy,Rose-breasted Grosbeak,tol_rel,0.4556,0.2927,0.0063,0.448,0.9525,1.0014,1200,NE
Occupancy,Ring-billed Gull,tol_rel,0.1125,0.3437,-0.4388,0.1157,0.6903,1.0087,1333,R
Occupancy,Red-breasted Nuthatch,tol_rel,0.2327,0.5495,-0.6774,0.2377,1.1285,1.0005,1200,M
Occupancy,Red-bellied Woodpecker,tol_rel,-0.3945,0.4076,-1.061,-0.4003,0.2744,1.0054,1508,R
Occupancy,Red-eyed Vireo,tol_rel,-0.8708,0.2746,-1.3412,-0.8613,-0.4375,1.0017,1045,NE
Occupancy,Red-headed Woodpecker,tol_rel,-0.321,0.4424,-1.025,-0.3195,0.3915,1.0031,1200,R
Occupancy,Rock Pigeon,tol_rel,0.0467,0.5004,-0.7607,0.0488,0.8659,1.0006,1200,R
