Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Cooper's Hawk,monocots,-0.2986,0.3513,-0.894,-0.301,0.2764,0.9998,1200,M,NO
Occupancy,Common Yellowthroat,monocots,-0.4007,0.2355,-0.7883,-0.3992,-0.0102,1.0047,1200,NE,YES
Occupancy,Dark-eyed Junco,monocots,0.2187,0.3298,-0.3164,0.2132,0.7708,1.0021,1200,R,NO
Occupancy,Downy Woodpecker,monocots,-0.1077,0.3488,-0.6698,-0.1094,0.4594,1.0119,1200,R,NO
Occupancy,Eastern Bluebird,monocots,-0.1051,0.3012,-0.5811,-0.1114,0.3805,1.009,1200,M,NO
Occupancy,Eastern Kingbird,monocots,-0.5433,0.3873,-1.2244,-0.5387,0.0534,1.0024,1200,NE,NO
Occupancy,Eastern Meadowlark,monocots,-0.1637,0.4395,-0.9101,-0.1548,0.5493,1.0031,1322,M,NO
Occupancy,Eastern Phoebe,monocots,0.3218,0.3053,-0.1628,0.3103,0.843,0.9998,1200,M,NO
Occupancy,Eastern Towhee,monocots,-0.2866,0.2682,-0.7225,-0.2886,0.1499,1.0029,1200,M,NO
Occupancy,Eastern Wood-Pewee,monocots,0.5523,0.374,-0.0371,0.5387,1.1986,1.0072,1200,NE,NO
Occupancy,European Starling,monocots,-0.7323,0.3338,-1.3099,-0.7229,-0.2091,1.0014,1200,R,YES
Occupancy,Field Sparrow,monocots,-0.1791,0.3161,-0.7235,-0.1738,0.3345,1.0011,1329,M,NO
Occupancy,Great Blue Heron,monocots,-0.2415,0.3871,-0.8722,-0.2279,0.3476,1.0112,1200,M,NO
Occupancy,Great Crested Flycatcher,monocots,0.2171,0.4206,-0.4929,0.2285,0.8904,1.0094,1135,NE,NO
Occupancy,Great Horned Owl,monocots,-0.0462,0.4699,-0.8076,-0.036,0.6962,0.9996,1200,R,NO
Occupancy,Gray Catbird,monocots,-0.5695,0.2262,-0.9453,-0.5684,-0.2133,0.9997,1200,M,YES
Occupancy,Green Heron,monocots,-0.2398,0.4624,-0.9627,-0.2526,0.5516,1.0014,1200,M,NO
Occupancy,Hairy Woodpecker,monocots,-0.0006,0.4192,-0.7236,0.0023,0.6516,1.0078,1200,R,NO
Occupancy,Herring Gull,monocots,-0.4102,0.4567,-1.1605,-0.4149,0.3391,1.0052,1200,R,NO
Occupancy,Hermit Thrush,monocots,-0.1065,0.4164,-0.7578,-0.1127,0.6178,1.0019,1200,NE,NO
Occupancy,House Finch,monocots,-0.5692,0.415,-1.3027,-0.5466,0.0792,1.0006,1009,R,NO
Occupancy,House Sparrow,monocots,-0.7387,0.3099,-1.2416,-0.7318,-0.2444,1.0081,1200,R,YES
Occupancy,Hooded Warbler,monocots,0.0387,0.248,-0.3446,0.0307,0.4497,1.0057,1200,NE,NO
Occupancy,House Wren,monocots,-0.1174,0.2151,-0.4706,-0.1264,0.2387,0.9998,1194,M,NO
Occupancy,Indigo Bunting,monocots,-0.4793,0.2257,-0.8565,-0.4766,-0.1221,1.0013,1200,NE,YES
Occupancy,Killdeer,monocots,-0.0078,0.3653,-0.603,0.0002,0.599,1,1200,M,NO
Occupancy,Louisiana Waterthrush,monocots,0.4256,0.3453,-0.127,0.4306,0.9935,1.0134,1317,NE,NO
Occupancy,Mallard,monocots,-0.0498,0.3901,-0.6935,-0.0402,0.5821,1.0135,1200,M,NO
Occupancy,Mourning Dove,monocots,-0.1488,0.3169,-0.6872,-0.1354,0.3385,1.0002,1200,M,NO
Occupancy,Northern Cardinal,monocots,-0.2397,0.3345,-0.7918,-0.2359,0.3192,1.0044,1200,R,NO
Occupancy,Northern Flicker,monocots,-0.2577,0.3842,-0.8868,-0.2435,0.3433,1.0017,1200,M,NO
Occupancy,Northern Parula,monocots,-0.3223,0.4833,-1.107,-0.314,0.4466,0.9991,1200,M,NO
Occupancy,Northern Rough-winged Swallow,monocots,-0.1402,0.3747,-0.7644,-0.139,0.4692,1.0128,1200,M,NO
Occupancy,Orchard Oriole,monocots,-0.8434,0.3847,-1.4966,-0.8222,-0.2292,1.0073,1200,NE,YES
Occupancy,Ovenbird,monocots,-0.2271,0.3189,-0.7678,-0.2226,0.2966,1.0498,977,NE,NO
Occupancy,Pileated Woodpecker,monocots,-0.0356,0.3963,-0.6599,-0.033,0.6042,1.003,1200,R,NO
Occupancy,Purple Finch,monocots,-0.3178,0.4742,-1.126,-0.2934,0.4401,0.9994,1200,M,NO
Occupancy,Purple Martin,monocots,-0.1481,0.4824,-0.9276,-0.148,0.6397,1.0073,993,NE,NO
Occupancy,Rose-breasted Grosbeak,monocots,-0.1016,0.3292,-0.6678,-0.0859,0.395,1.0016,1200,NE,NO
Occupancy,Ring-billed Gull,monocots,-0.476,0.3571,-1.0865,-0.4781,0.093,1.003,1200,R,NO
Occupancy,Red-breasted Nuthatch,monocots,-0.3509,0.4738,-1.1035,-0.3518,0.4549,1.0071,1200,M,NO
Occupancy,Red-bellied Woodpecker,monocots,0.1247,0.4159,-0.5428,0.131,0.8156,1.002,1200,R,NO
Occupancy,Red-eyed Vireo,monocots,0.6276,0.3878,0.0312,0.5999,1.307,1.0001,1524,NE,YES
Occupancy,Red-headed Woodpecker,monocots,0.2163,0.4123,-0.4304,0.1944,0.9339,1.0092,1200,R,NO
Occupancy,Rock Pigeon,monocots,-0.4269,0.4496,-1.1684,-0.4174,0.2931,1.0008,1338,R,NO
Occupancy,Red-shouldered Hawk,monocots,-0.1186,0.4756,-0.897,-0.1236,0.6366,1.029,1200,R,NO
Occupancy,Red-tailed Hawk,monocots,-0.4135,0.3805,-1.0915,-0.4105,0.1769,1.0008,1063,R,NO
Occupancy,Ruby-throated Hummingbird,monocots,-0.3576,0.4453,-1.0778,-0.3704,0.3884,1.0093,1200,NE,NO
Occupancy,Red-winged Blackbird,monocots,-0.4517,0.2298,-0.8408,-0.4481,-0.0892,0.999,1200,M,YES
Occupancy,Savannah Sparrow,monocots,-0.1273,0.4512,-0.8755,-0.1243,0.6125,1.0018,1276,M,NO
Occupancy,Scarlet Tanager,monocots,0.5912,0.3563,0.0257,0.5829,1.1976,1.0362,1200,NE,YES
Occupancy,Song Sparrow,monocots,-0.3036,0.1938,-0.6314,-0.3002,0.0129,1.0066,1200,R,NO
Occupancy,Swamp Sparrow,monocots,-0.356,0.3742,-0.9795,-0.3526,0.25,1.0248,1204,M,NO
Occupancy,Tree Swallow,monocots,-0.4201,0.3894,-1.061,-0.4287,0.2374,1.01,1087,M,NO
Occupancy,Tufted Titmouse,monocots,-0.1373,0.4007,-0.8002,-0.1369,0.5322,1.015,1321,R,NO
Occupancy,Turkey Vulture,monocots,-0.3467,0.4209,-1.0783,-0.335,0.3212,1.0036,1953,M,NO
Occupancy,Veery,monocots,-0.0859,0.3407,-0.6357,-0.092,0.4789,1.0049,1200,NE,NO
Occupancy,Virginia Rail,monocots,-0.1481,0.4979,-0.9466,-0.1405,0.6677,1.0004,1200,M,NO
Occupancy,Warbling Vireo,monocots,-0.6459,0.2877,-1.1339,-0.6301,-0.2282,1.0017,1320,NE,YES
Occupancy,White-breasted Nuthatch,monocots,0.1445,0.4329,-0.5926,0.1494,0.8138,1,1200,R,NO
Occupancy,White-eyed Vireo,monocots,-0.1525,0.4341,-0.8544,-0.1459,0.5658,1.0114,1200,NE,NO
Occupancy,Willow Flycatcher,monocots,-0.6598,0.3886,-1.3015,-0.6497,-0.0568,1.0034,1200,NE,YES
Occupancy,Wild Turkey,monocots,-0.2265,0.4251,-0.921,-0.2338,0.4657,1.0234,1068,R,NO
Occupancy,Winter Wren,monocots,-0.1691,0.4293,-0.8857,-0.1656,0.527,1.0085,1200,M,NO
