Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Canada Goose,tol_rel,0.4716,0.5212,-0.3799,0.4623,1.3258,1.0056,1200,R,NO
Occupancy,Carolina Wren,tol_rel,0.8344,0.3118,0.3739,0.819,1.4057,1.0054,1200,R,YES
Occupancy,Cedar Waxwing,tol_rel,0.8592,0.3072,0.3965,0.8358,1.3691,1.0115,1200,M,YES
Occupancy,Cerulean Warbler,tol_rel,0.2675,0.595,-0.6839,0.2618,1.2822,1.0032,1200,NE,NO
Occupancy,Chipping Sparrow,tol_rel,0.2599,0.233,-0.1335,0.2619,0.6409,1.0021,1353,M,NO
Occupancy,Chimney Swift,tol_rel,0.0977,0.4611,-0.6088,0.0694,0.887,1.0094,1200,NE,NO
Occupancy,Cliff Swallow,tol_rel,0.2728,0.5907,-0.7337,0.2989,1.2068,1.0004,1311,NE,NO
Occupancy,Common Grackle,tol_rel,0.6516,0.2725,0.2368,0.6263,1.1425,1.0259,1303,M,YES
Occupancy,Cooper's Hawk,tol_rel,0.4358,0.3888,-0.1356,0.4017,1.1163,1.0004,1102,M,NO
Occupancy,Common Yellowthroat,tol_rel,1.0607,0.2353,0.6849,1.0455,1.47,1.0016,963,NE,YES
Occupancy,Dark-eyed Junco,tol_rel,-0.6448,0.3688,-1.282,-0.6143,-0.0823,1.0187,1200,R,YES
Occupancy,Downy Woodpecker,tol_rel,0.1129,0.4261,-0.5552,0.0945,0.834,1.0067,1200,R,NO
Occupancy,Eastern Bluebird,tol_rel,0.5997,0.3754,0.0918,0.5483,1.3053,1.0032,1413,M,YES
Occupancy,Eastern Kingbird,tol_rel,0.9963,0.3211,0.4905,0.9846,1.5592,1.002,1200,NE,YES
Occupancy,Eastern Meadowlark,tol_rel,0.0726,0.5112,-0.7613,0.0792,0.9074,1.0125,1200,M,NO
Occupancy,Eastern Phoebe,tol_rel,-0.3104,0.4245,-0.9196,-0.3342,0.4434,1.0048,1004,M,NO
Occupancy,Eastern Towhee,tol_rel,0.5831,0.2439,0.2044,0.5703,0.9938,0.9995,1458,M,YES
Occupancy,Eastern Wood-Pewee,tol_rel,-1.0602,0.2938,-1.5739,-1.0463,-0.5971,1.0007,1200,NE,YES
Occupancy,European Starling,tol_rel,0.8528,0.256,0.4557,0.8425,1.2919,1.0151,1200,R,YES
Occupancy,Field Sparrow,tol_rel,0.5892,0.2675,0.1866,0.5866,1.0412,1.0032,1200,M,YES
Occupancy,Great Blue Heron,tol_rel,0.2104,0.5837,-0.6929,0.1844,1.1913,1.0073,1103,M,NO
Occupancy,Great Crested Flycatcher,tol_rel,-0.2694,0.5078,-0.9931,-0.3236,0.6176,1.0065,2068,NE,NO
Occupancy,Great Horned Owl,tol_rel,0.2569,0.5761,-0.6882,0.254,1.2064,1.0003,1200,R,NO
Occupancy,Gray Catbird,tol_rel,0.7203,0.2338,0.3632,0.7132,1.1223,1.0076,1200,M,YES
Occupancy,Green Heron,tol_rel,0.8285,0.5213,0.0143,0.7894,1.7012,1.0042,994,M,YES
Occupancy,Hairy Woodpecker,tol_rel,-0.6182,0.3243,-1.1392,-0.6069,-0.1119,1.0113,1520,R,YES
Occupancy,Herring Gull,tol_rel,-0.1131,0.5871,-1.1095,-0.0924,0.8309,1.004,1200,R,NO
Occupancy,Hermit Thrush,tol_rel,-0.1236,0.533,-0.9974,-0.1157,0.7492,0.9996,1200,NE,NO
Occupancy,House Finch,tol_rel,0.2308,0.268,-0.1843,0.2239,0.6685,1.0288,1200,R,NO
Occupancy,House Sparrow,tol_rel,0.1911,0.2173,-0.1609,0.187,0.5641,1.0145,1059,R,NO
Occupancy,Hooded Warbler,tol_rel,-0.5425,0.2531,-0.984,-0.5322,-0.1408,1.0036,1200,NE,YES
Occupancy,House Wren,tol_rel,0.2954,0.2909,-0.1334,0.2685,0.8214,1.017,1306,M,NO
Occupancy,Indigo Bunting,tol_rel,0.4078,0.2072,0.0757,0.4034,0.7549,1.0213,1508,NE,YES
