
Call:
msPGOcc(occ.formula = bbs_occobject_global.occ.formula, det.formula = bbs_occobject.det.best.formula, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, n.report = 6000, 
    n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 56.5753

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
scale(svp)-sp26         -0.2379 0.3608 -0.8388 -0.2344  0.3808 1.0042 1200
scale(svp)-sp27          0.2682 0.2416 -0.1272  0.2655  0.6755 1.0025 2477
scale(svp)-sp28         -0.3019 0.2589 -0.7383 -0.2857  0.0971 1.0156 1200
scale(svp)-sp29         -0.0532 0.4080 -0.7142 -0.0448  0.6129 1.0043 1200
scale(svp)-sp30          0.0733 0.2570 -0.3363  0.0608  0.5203 1.0053  952
scale(svp)-sp31         -0.2491 0.2794 -0.6940 -0.2525  0.2272 1.0237  967
scale(svp)-sp32         -0.1635 0.3983 -0.8070 -0.1491  0.4694 1.0030 1200
scale(svp)-sp33         -0.2012 0.2671 -0.6434 -0.1934  0.2265 1.0077 1200
scale(svp)-sp34          0.0846 0.3256 -0.4585  0.0890  0.5802 1.0013 1200
scale(svp)-sp35          0.0584 0.2172 -0.3063  0.0587  0.4075 1.0048  963
scale(svp)-sp36          0.6843 0.2815  0.2349  0.6701  1.1886 1.0139 1207
scale(svp)-sp37          0.1239 0.3316 -0.3928  0.1026  0.7245 1.0047 1200
scale(svp)-sp38          0.3416 0.2792 -0.0984  0.3426  0.7962 1.0038 1200
scale(svp)-sp39          0.0390 0.3186 -0.4754  0.0440  0.5454 1.0101 1200
scale(svp)-sp40         -0.1465 0.3758 -0.7628 -0.1412  0.4671 1.0052 1392
scale(svp)-sp41         -0.0485 0.2647 -0.4790 -0.0496  0.3741 1.0007 1200
scale(svp)-sp42         -0.1521 0.2428 -0.5514 -0.1492  0.2433 1.0086 1304
scale(svp)-sp43          0.0213 0.3122 -0.4822  0.0060  0.5498 0.9996 1200
scale(svp)-sp44         -0.5856 0.3034 -1.1202 -0.5755 -0.1055 1.0007 1200
scale(svp)-sp45         -0.2141 0.2993 -0.7014 -0.2105  0.2797 1.0064  964
scale(svp)-sp46         -0.0801 0.3207 -0.5967 -0.0766  0.4601 1.0092 1200
scale(svp)-sp47          0.0829 0.3522 -0.4778  0.0802  0.6784 1.0017 1200
scale(svp)-sp48         -0.0898 0.3929 -0.7379 -0.1007  0.5539 1.0165 1200
scale(svp)-sp49         -0.4241 0.2120 -0.7641 -0.4161 -0.0937 1.0064 1200
scale(svp)-sp50         -0.0993 0.3940 -0.7563 -0.0954  0.5158 0.9994 1200
scale(svp)-sp51          0.0317 0.3620 -0.5221  0.0106  0.6423 1.0042 1200
scale(svp)-sp52         -0.1858 0.3852 -0.8311 -0.1832  0.4366 1.0024  863
scale(svp)-sp53          0.3009 0.3628 -0.2823  0.2906  0.8986 1.0051 1200
scale(svp)-sp54         -0.6101 0.3374 -1.1541 -0.6018 -0.0702 1.0069 1200
scale(svp)-sp55         -0.8296 0.3148 -1.3587 -0.8249 -0.3228 1.0090 1200
scale(svp)-sp56          0.4001 0.2187  0.0577  0.3948  0.7687 1.0004 1200
scale(svp)-sp57         -0.3120 0.1978 -0.6583 -0.3069  0.0074 1.0048 1200
scale(svp)-sp58         -0.1614 0.2039 -0.5034 -0.1597  0.1798 1.0026 1200
scale(svp)-sp59         -0.3518 0.3349 -0.9134 -0.3540  0.1811 1.0162 1200
scale(svp)-sp60          0.0085 0.2830 -0.4551  0.0076  0.4704 1.0148 1200
scale(svp)-sp61         -0.3376 0.3708 -0.9417 -0.3294  0.2355 1.0003 1200
scale(svp)-sp62         -0.0720 0.2742 -0.5283 -0.0717  0.3929 1.0064 1200
scale(svp)-sp63          0.0374 0.2863 -0.4195  0.0405  0.5093 1.0160 1776
scale(svp)-sp64         -0.1613 0.3181 -0.6563 -0.1839  0.3918 1.0208 1200
